C6 43.69 30.84   0 100nF CAPC1005X60
C9 48.82 34.54  90 100nF CAPC1005X60
C10 47.98 23.44 270 100nF CAPC1005X60
C11 41.20 25.83   0 100nF CAPC1005X60
C12 45.64 30.73   0 100nF CAPC1005X60
C13 47.70 30.73   0 100nF CAPC1005X60
C14 51.49 31.39 180 100nF CAPC1005X60
C15 47.63 29.03   0 100nF CAPC1005X60
C16 42.95 29.82 180 100nF CAPC1005X60
C17 43.28 27.38 180 100nF CAPC1005X60
C18 45.62 25.37 270 100nF CAPC1005X60
C19 45.85 29.03 180 100nF CAPC1005X60
C20 57.68 45.44   0 100nF CAPC1005X60
C21 43.96 28.88   0 100nF CAPC1005X60
C22 45.57 27.11 270 100nF CAPC1005X60
C23 43.66 25.83   0 100nF CAPC1005X60
C24 47.24 26.97 270 100nF CAPC1005X60
C25 46.43 23.67 270 100nF CAPC1005X60
C26 41.38 30.84 180 100nF CAPC1005X60
C27 41.22 27.43 180 100nF CAPC1005X60
C28 41.22 29.01 180 100nF CAPC1005X60
C30 57.72 44.22 180 10uF CAPC1005X60
C31 56.06 41.07 270 10uF CAPC1005X60
C32 54.76 41.17 270 10uF CAPC1005X60
C33 47.70 25.12   0 100nF CAPC1005X60
C34 48.01 32.72  90 100nF CAPC1005X60
C35 43.59 24.56   0 100nF CAPC1005X60
C36 46.38 32.31 270 100nF CAPC1005X60
C39 50.09 29.77 180 100nF CAPC1005X60
C40 42.73 23.39   0 100nF CAPC1005X60
C41 41.22 24.28 180 100nF CAPC1005X60
C42 48.08 21.70  90 1uF CAPC1005X60
C43 49.48 22.56   0 1uF CAPC1005X60
C49 44.35 32.23   0 1uF CAPC1005X60
C50 44.73 37.90 270 100nF CAPC1005X60
C51 45.90 37.90 270 1uF CAPC1005X60
C52 46.81 21.70 270 1uF CAPC1005X60
C53 51.64 47.73   0 4.7uF CAPC1005X60
C54 54.71 47.19  90 10uF CAPC1005X60
C55 53.59 37.97 270 10uF CAPC2012X110
C56 55.68 38.00 270 10uF CAPC2012X110
C57 62.99 46.46 180 10uF CAPC2012X110
C58 56.13 47.18  90 10uF CAPC1005X60
C59 51.64 44.75   0 2.2uF CAPC1005X60
C61 78.05 25.73   0 22nF CAPC1005X60
C62 57.00 21.46   0 100nF CAPC1005X60
C63 56.85 25.02   0 1uF CAPC1005X60
C64 14.76 15.95  90 47pF CAPC1005X60
C65 16.51 15.95  90 47pF CAPC1005X60
C66 18.26 15.95  90 47pF CAPC1005X60
C67 15.90 12.29 270 47pF CAPC1005X60
C68 18.64 12.22 270 47pF CAPC1005X60
C69 19.94 12.22 270 47pF CAPC1005X60
C70 25.12 13.74   0 47pF CAPC1005X60
C71 23.14 15.04 180 47pF CAPC1005X60
C72 23.14 16.33 180 47pF CAPC1005X60
C73 23.14 17.59 180 47pF CAPC1005X60
C74 18.44 17.78   0 47pF CAPC1005X60
C75 18.44 19.02   0 47pF CAPC1005X60
C76 18.41 20.29   0 47pF CAPC1005X60
C77 23.06 21.29 180 47pF CAPC1005X60
C78 23.07 22.50 180 47pF CAPC1005X60
C79 19.48 21.59   0 47pF CAPC1005X60
C80 46.30 36.22 180 1uF CAPC1005X60
C81 42.47 34.87  90 1uF CAPC1005X60
C82 46.91 34.87 180 1uF CAPC1005X60
C83 43.99 34.39  90 1uF CAPC1005X60
C85 51.61 42.27   0 4.7uF CAPC1005X60
C86 51.61 43.48   0 22uF CAPC1005X60
C87 14.81 22.50 270 1uF CAPC1005X60
C88 13.08 21.31 180 1uF CAPC1005X60
C89 13.08 18.34 180 1uF CAPC1005X60
C90 13.06 17.04 180 1uF CAPC1005X60
C91 13.03 15.80 180 1uF CAPC1005X60
C92 10.36 15.88   0 1uF CAPC1005X60
C93 10.34 14.61   0 1uF CAPC1005X60
C94 16.58 10.43 270 1uF CAPC1005X60
C95 11.23 21.31   0 1uF CAPC1005X60
C96 10.39 13.39   0 1uF CAPC1005X60
C97 51.65 46.13   0 2.2uF CAPC1005X60
C99 66.70 11.76 180 120uF CAPC1608X85
C108 61.54 26.37 270 1uF CAPC1005X60
C109 62.89 21.49 180 1uF CAPC1005X60
C110 54.81 25.37   0 100nF CAPC1005X60
C111 54.79 24.13   0 1uF CAPC1005X60
IC1 38.77  8.98 180 MT29F8G08DAA TSOP48
L1 62.11 44.08 180 2.2uH INDC2520X120N
L2 60.93 41.33 180 2.2uH INDC2520X120N
L3 50.01 39.50   0 2.2uH INDC2520X120N
L4 58.60 47.74   0 18uH INDC2520X120N
R1 70.87 15.16   0 10k RESC1005X40
R2 70.87 13.72   0 10k RESC1005X40
R3 76.60 36.12 180 270R RESC1005X40
R11 19.56 15.95 270 10k RESC1005X40
R12 14.63 12.29  90 10k RESC1005X40
R13 17.25 12.29  90 10k RESC1005X40
R14 21.23 12.22  90 10k RESC1005X40
R15 23.14 13.74   0 10k RESC1005X40
R16 25.12 15.04 180 10k RESC1005X40
R17 15.98 20.14 270 10k RESC1005X40
R18 25.12 16.26 180 10k RESC1005X40
R38 53.16 47.27 270 10k RESC1005X40
R47 58.62 18.89  90 1k RESC1005X40
R48 13.87 14.25  90 0R RESC1005X40
R59 56.97 22.73   0 10k RESC1005X40
R62 56.39 19.61 270 10k RESC1005X40
R68 60.07 18.90 270 10R RESC1005X40
R75 78.03 26.97   0 10k RESC1005X40
R86 13.82  8.15  90 33R RESC1005X40
R87 12.55  8.10  90 0R RESC1005X40
R89 36.88 38.94 270 49.9R RESC1005X40
U9  9.42  8.69 180 DSC1003CI2-050.0000 CDFN4_3P2X2P5_MCH
